UPC,Description,Cost,QoH,Special Price Method,Unit Price,Group Price,Group Qty,Start Date,End Date,Net Sales,Foodstamp,Scale,Scanned Count
0012932251415,CKN WINGS ,1.72,-640.28,,,,,,,0,TRUE,TRUE,0
0012932251416,BANANA ,0.24,4,,,,,,,0,TRUE,FALSE,0
0012932251423,CKN Q BOX ,36.95,-14,,,,,,,0,TRUE,FALSE,0
0013256830406,Grand choice ,0.79,-82,,,,,,,0,TRUE,FALSE,0
0014141421222,BEEF STOMACH ,4.61,-43.9,,,,,,,0,TRUE,TRUE,0
0014500021007,BIRDEYE SWEET PEAS ,1.1,2,,,,,,,0,TRUE,FALSE,0
0014500021281,BIRDEYE MIXED VEG ,1.1,2,,,,,,,0,TRUE,FALSE,0
0016229901141,FOCO COCONUT JUICE SMALL ,1.38,18,,,,,,,0,TRUE,FALSE,0
0019900003233,CG BAKING POWDER,2.63,1,,,,,,,0,TRUE,FALSE,0
0021000611461,VELVEETA SLICES ,2.99,0,,,,,,,0,TRUE,FALSE,0
0021000658831,KRAFT MACARONI & CHEESE ,1.25,6,,,,,,,0,TRUE,FALSE,0
0021100025113,DOUBLE Q PINK SAL ,3.47,4,,,,,,,0,TRUE,FALSE,0
0022840404053,ROYAL SWEETS JALEBI ,6,10,,,,,,,0,TRUE,FALSE,0
0022840404183,ROYAL ZALEBI SM ,4,8,,,,,,,0,TRUE,FALSE,0
0024463061040,CHILLI GARLIC SAUCE 8OZ ,3.5,2,,,,,,,0,TRUE,FALSE,0
0024463061057,CHILI GARLIC SAUCE ,2.6,0,,,,,,,0,TRUE,FALSE,0
0024463061071,SAMBAL CHILLI PASTE ,2.08,0,,,,,,,0,TRUE,FALSE,0
0024463061088,SAMBAL CHILLI PASTE ,5.5,2,,,,,,,0,TRUE,FALSE,0
0024463061163,SRIRACHA CHILLI SAUCE 28OZ ,7.5,-2,,,,,,,0,TRUE,FALSE,0
0025262626262,KATLA 6KG ,2.59,57.42,,,,,,,0,TRUE,TRUE,0
0025749373925,Halal Quail (Spain) ,8.84,-53,,,,,,,0,TRUE,FALSE,0
0027000390146,HUNTS TOMATO SAUCE ,0.93,-1,,,,,,,0,TRUE,FALSE,0
0028000088064,MAGGI CHICKEN FLAVOR ,0.4,-78,,,,,,,0,TRUE,FALSE,0
0028000469719,NIDO MILK 400G ,7.99,14,,,,,,,0,TRUE,FALSE,0
0030000011805,OATS,2.99,4,,,,,,,0,TRUE,FALSE,0
0032394010075,KONTOS GYRO NAAN ,2.59,0,,,,,,,0,TRUE,FALSE,0
0032894010278,CA RED KIDNEY BEANS ,1.32,27,,,,,,,0,TRUE,FALSE,0
0032894010308,CA PRE FAVA BEANS ,1.03,26,,,,,,,0,TRUE,FALSE,0
0033200011101,AH BAKING SODA,1.47,3,,,,,,,0,TRUE,FALSE,0
0033200011309,BAKING SODA ,0.87,2,,,,,,,0,TRUE,FALSE,0
0033383080413,RED DELIC APPLES ,3.19,2,,,,,,,0,FALSE,FALSE,0
0033383510101,RED POTATOES 5LB ,3.5,20,,,,,,,0,TRUE,FALSE,0
0033383530109,WTE POTATOES ,4.45,2,,,,,,,0,TRUE,FALSE,0
0033383533100,yellow potatoes ,2.99,0,,,,,,,0,TRUE,FALSE,0
0033383536101,FS POTATOES 5LB,2.1,2,,,,,,,0,TRUE,FALSE,0
0033383600024,YELLOW ONION ,2.4937,-46,,,,,,,0,TRUE,FALSE,0
0033383600512,WHITE ONION ,1.99,-5,,,,,,,0,TRUE,FALSE,0
0033383601014,RED ONIONS - 2LB,1.99,-4,,,,,,,0,TRUE,FALSE,0
0033383601021,RED ONION ,3.4375,-5,,,,,,,0,TRUE,FALSE,0
0033383660011,WHOLE CARROTS,1.35,2,,,,,,,0,TRUE,FALSE,0
0035200075534,KRIKLAN WHITE RICE ,16.44,1,,,,,,,0,TRUE,FALSE,0
0036632002822,DANNON TOGURT,3.99,8,,,,,,,0,TRUE,FALSE,0
0040600034166,BUTTER ORIGINAL ,3.58,0,,,,,,,0,TRUE,FALSE,0
0040696012031,ONION WHT BAG ,1.88,-22,,,,,,,0,TRUE,FALSE,0
0041270028097,IGA CANOLA OIL ,4.39,2,,,,,,,0,TRUE,FALSE,0
0041331021647,GOYA COCONUT MILK ,1.88,2,,,,,,,0,TRUE,FALSE,0
0041415009134,BREAD CRUMBS 24 OZ ,2,0,,,,,,,0,TRUE,FALSE,0
0041415011137,ORIGINAL BREAD CRUMBS ,1.69,0,,,,,,,0,TRUE,FALSE,0
0041415012134,BREAD CRUMBS 15 0Z ,1.69,0,,,,,,,0,TRUE,FALSE,0
0041430005562,IODIZED SALT,1.99,2,,,,,,,0,TRUE,FALSE,0
0041789002168,MARUCHAN RAMAN CHILI FLAVOR ,0.28,-6,,,,,,,0,TRUE,FALSE,0
0041789002373,maruchan 12pk ,3.28,-2,,,,,,,0,TRUE,FALSE,0
0043000032275,tang orange 566g ,3.48,4,,,,,,,0,TRUE,FALSE,0
0044000047009,OREO COOKIES ,0.46,16,,,,,,,0,TRUE,FALSE,0
0044738018432,COCONUT MILK ,2,-75,,,,,,,0,TRUE,FALSE,0
0044738072311,SWEET CHILLI SAUCE ,1.99,0,,,,,,,0,TRUE,FALSE,0
